Mode,Frequency [Hz]
1,66.376
2,280.78
3,412.82
4,913.77
5,1154.9
6,1381.4
7,1754.1
8,1780
9,2261.5
10,2409.3
11,2891.7
12,3367.1
13,3768.4
14,4343
15,4655.2
16,4737.4
17,5016
18,5247.7
19,5258.9
20,5592.1
21,6130.9
22,6225.9
23,6292.5
24,7543.2
25,7753.9
26,8086.8
27,8358.4
28,9061.2
29,9189.1
30,9525
31,10240
32,10264
33,10480
34,10819
35,11013
36,11124
37,11719
38,12749
39,13058
40,13319
41,13366
42,13596
43,14082
44,14562
45,14685
46,15117
47,15258
48,15548
49,15797
50,15974
51,16166
52,16696
53,17176
54,17495
55,17560
56,18267
57,18578
58,18586
59,18743
60,19532
61,19551
62,19845
63,19988
64,20045
65,20615
66,21025
67,21429
68,21635
69,21824
70,21905
71,21979
72,22625
73,22764
74,22784
75,23197
76,23667
77,23790
78,24386
79,24916
80,25229
81,25255
82,25323
83,25526
84,25783
85,26574
86,26738
87,27008
88,27131
89,27315
90,27510
91,27946
92,28469
93,29007
94,29149
95,29280
96,29331
97,29380
98,29672
99,30377
100,30759
